JobText,score
"6 hours
2018-06-252018-07-25

talent manager

lyric

san francisco, california 94114



*
job code

lyric-tm

*
job type

employee

*
job status

full time

executive summary

lavender youth recreation & information center (lyric), one of the oldest, largest, and most innovative organizations in the nation serving lesbian, gay, bisexual, transgender, queer, and questioning (lgbtqq) youth, seeks a strategic and **nimble** talent manager to lead the design and implementation of robust and versatile talent development systems, promote a supportive organizational culture that fosters mutual trust, creativity, cross-team learning, and drive an innovative approach to program refinement that transforms the systems that impact lgbtqq youth.

founded in 1988, lyric works to transform the landscape for all lgbtqq youth, particularly those who are low-income and youth of color, in schools, public agencies, and communities. with an anticipated budget of more than $3m and more than 25 staff members, 10 fellows and over 90 paid youth interns, the talent manager will join a passionate and **mission-driven** team in strengthening a network of supports for lgbtqq youth that includes direct advocacy, community-building opportunities, and workforce development initiatives. last year lyric impacted over 1,159 youth through direct services, and an additional 3,376 through outreach, in their efforts to build a youth **leadership** pipeline  strengthening the capacity of lgbtqq youth to develop key life skills, healthy relationships, and potential career pathways.

reporting to the deputy director and working closely with the **leadership** team, the talent manager will lead the design and implementation of lyrics talent development strategy, applying best practices from both human resources and key elements of youth development theory. as the primary coordinator for the organizations hiring, onboarding, and training program for youth development staff, the talent manager will steward lyrics organizational culture, leading evaluation, curriculum design, and systems that create efficiencies for program staff to more effectively do their work. the talent manager will conceive and facilitate both formal and informal learning opportunities, equipping staff in their ability to **adapt** and align programmatic work that collectively fulfills lyrics operating principles and mission.

the ideal candidate must share a passion for building the **leadership** capacity of lgbtqq youth, striving to foster a world that honors, respects and appreciates lgbtqq youth and their contributions. the successful talent manager will bring at least three years of professional experience in talent development, human resources and/or organizational development, preferably in a **mission-driven** context. this person will have demonstrated success in the design and implementation of learning systems across an organization, including the use of data-driven practices and direct facilitation of curricula or other learning resources within and across teams.

as a nationally-recognized model for **leadership** development with lgbtqq youth that is guided by its strategic initiatives and operating principles, lyric continues to innovate and drive **excellence** in its programming and internal culture and infrastructure, furthering its impact on the opportunities of lgbtqq young people.

the search is being conducted with assistance from allison kupfer poteet and makeba greene of the national search firm, npag. instructions for submitting applications, nominations, and inquiries can be found at the end of this document.

organizational overview

founded in 1988, lyric is an anchor institution where predominately low-income lgbtqq youth of color collaborate with peers and adult allies to promote social justice in their communities. combining advocacy efforts with a holistic set of services, lyric strives to transform the systems that marginalize lgbtqq youth, providing the supports they need to thrive.

in alignment with the organizations strategic plan, lyric envisions: (1) schools that are transformed into safe, inclusive environments where lgbtqq students can thrive, and (2) a comprehensive network of community supports to ensure successful progression into adulthood for transitional age lgbtqq youth. **leadership** and staff work toward this vision by uniting best practice with innovation to realize the organizational **excellence** needed to advance the field of lgbtqq youth development, and growing community support that reflects a high level of partner investment in lyrics mission, vision, and organizational sustainability.

lyrics continued growth is guided by its strategic initiatives and the following operating principles:

* learning: we bring curiosity, creativity, and fun to our work.
* sustainable impact: we commit to the long-term transformation of lives and institutions.
* **leadership**: we foster **leadership** to support a progressive movement that spans generations.
* allyship: we believe that everyone has a role in creating safe and thriving communities.
* social justice: we build upon a proud history of community self-determination by **challenging** institutionalized invisibility & inequity.

with an anticipated operating budget of more than $3m, lyric provides a robust network of supports for lgbtqq youth through three main avenues: youth advocacy, community building, and workforce development. with this approach, lyric weaves a safety net for lgbtqq youth, fostering systems change that is driven by young peoples **leadership** in advancing policy, engaging in direct advocacy, and spurring movement building within communities.

youth advocacy & case management

lyric provides a continuum of case management services at the individual level that build upon youths resiliency, providing access to mental and physical health services, jobs, educational counseling and enrollment, housing, budgeting, and basic needs, including support with legal name and gender marker change documentation. lyric provides these services free of charge, and this is often an entry point for young people who go on to engage further in the organizations efforts to build a **leadership** pipeline of lgbtqq young people.

community building & movement building

strengthening young peoples abilities at the interpersonal level, lyric also facilitates school and community-based programming to create collaborative learning environments where lgbtqq youth can build skills, identify allies, and develop a sense of family that enables them to be successful and truly thrive. by connecting lgbtqq youth leaders with other community efforts working for social justice, lyric also builds the power of lgbtqq young people in influencing and shaping policy and systems design and implementation.

workforce development

with an understanding of the barriers that many lgbtqq young people (particularly those who are low-income, undocumented and/or youth of color) face in gaining employment, lyric provides comprehensive workforce development services. youth ages 14-24 engage in a continuum of paid, work-based learning opportunities that build their **leadership** and life skills. this continuum includes one of lyrics newest programs, which is a two-year fellowship for transgender/gender non-conforming youth. in addition, lyric provides 1:1 support to youth job seekers (age 24 and younger). for many, lyric provides the first employment opportunity a young person has held, and a first step in building an income to support their future stability and career growth.

history and values

as one of the first and largest lgbtqq youth centers in the united states, lyric has impacted the landscape of services and supports that are available for lgbtqq youth, both regionally and nationally. the organization emerged from the shared vision of donna keiko ozawa and beth kivel, who sought to create a safe space and opportunity to build community for gay, lesbian, and bisexual youth. after the success of their first event  a community dance held in 1988  lyrics organizational goals, programming, and advocacy priorities began to take shape. in 1991, lyric achieved the first of many policy wins: receiving financial support from the city of san francisco for urgently-needed youth development programs that challenged homophobia and transphobia and educated community members about sexuality and gender. in direct response to the youth-led advocacy of lyric, mayor frank jordon signed a resolution to **prioritize** lgbtqq youth needs, including the establishment of a lgbtqq youth center in the castro.

in its transformation from a collective to a broader advocacy and service provider that is building a **leadership** pipeline of lgbtqq youth, lyric has become a small, but highly sophisticated leader in the delivery of youth development programming. lyrics peer-based approach to working with lgbtqq youth is a key element in their success, and the organization has been recognized by the community network for youth development (cnyd) for **excellence** in youth development outcomes and youth participant satisfaction.

opportunities and challenges for the talent manager

reporting to the deputy director and working closely with the **leadership** team, the talent manager will lead the design and implementation of lyrics talent development strategy while also serving as the primary coordinator for the organizations hiring, onboarding, and youth staff training. the talent manager will steward lyrics organizational culture, leading evaluation, curriculum design, and systems that create efficiencies for program staff to more effectively do their work. in the first 12-18 months and beyond, the talent manager can expect to engage in the following challenges and opportunities:

lead the design and implementation of a broad talent development strategy

the talent manager will design, test, refine, and codify a broad talent development strategy for lyric, articulating a vision for an approach to talent development that will support and shepherd the organization through a period of significant growth and expansion. in leading this multi-year plan, the talent manager will work closely with the deputy director and members of the **leadership** team to ensure close alignment across programs and teams, including support functions and other key operational roles. with responsibility for managing the talent development budget, and accompanying work plans, and procedures, the talent manager will develop and evaluate systems and enhance the skills of staff members, supporting the fulfillment of lyrics operating principles and mission.

conceive and facilitate key learning and morale-building opportunities for staff within and across teams

in collaboration with members of the **leadership** team, the talent manager will develop strong relationships across teams, working to create a systematic approach to identify opportunities for celebration, shared learning and key skill or knowledge gaps. using these insights, the talent manager will develop or seek out key learning and/or morale-building opportunities that strengthen the ability of staff to collaborate, lead youth development programs, improve data collection, develop external partnerships, and drive impact. these learning opportunities include both formal and informal opportunities, such as staff meetings, 1:1 coaching, brown bag lunches, sharing of key social media, partner site visits and the annual staff retreat.

clarify, articulate and provide accountability for lyrics internal development strategy

building on the rich culture and commitment of lyrics external work in the development of a **leadership** development pipeline for lgbtqq youth, the talent manager will develop and articulate a clear strategy and progress milestones for internal promotion within lyric, enabling staff to navigate opportunities for professional growth, whether within the organization or with a key community partner. using principles of organizational design and continuous improvement processes that are tied to individual **goal-setting** with staff, the talent manager will establish clear metrics and expectations for internal growth and promotion. working closely with the deputy director and executive director, the talent manager will ensure fidelity to this strategy and workplan, ensuring organization-wide trust and confidence in its implementation.

manage lyrics performance management activities and broader human relations oversight

the talent manager will utilize lyrics performance management tools and processes to initiate and facilitate **goal-setting** efforts with staff across the organization. in managing both ongoing feedback mechanisms and the organizations annual review process, the talent manager will ensure that team members receive fair, constructive, and timely feedback regarding performance expectations. to support these efforts, the talent manager will provide ongoing training to managers in leading **goal-setting** and professional development plans with their staff, providing additional coaching and 1:1 support for staff members as needed. the talent manager will oversee the organizations human resources functions, maintaining compliance with personnel policies that govern staff recruitment, hiring, promotion, disciplinary action and employment separation.

develop, administer, and track effective onboarding and orientation for new staff

working under the direction of the deputy director and included within the larger creation of a talent development strategy, the talent manager will also develop and facilitate a robust orientation curriculum and schedule for new staff, supporting relationship-based and experiential learning opportunities that support quick and effective integration with the larger team.

assist in agency-wide fund development, team-building priorities, and partnership building

with responsibilities for leading change management and talent development strategies across lyric, it is also essential that the talent manager model organization-wide participation in fundraising activities, team-building, and external partnerships, fostering the expanded engagement of lyric youth and staff in these efforts.

qualifications of the ideal candidate

the talent manager will bring an understanding of both **leadership** development and change management and must demonstrate a passion for building the **leadership** capacity of lgbtqq youth. while no one person will embody all the qualities listed below, the ideal candidate will possess many of the following professional and personal abilities, attributes, and experiences:

the successful talent manager will bring at least three years of professional experience in talent development, human resources and/or organizational development, preferably in a **mission-driven** context. this person will have demonstrated success in the design and implementation of learning systems across an organization, including the use of data-driven practices and direct facilitation of curricula or other learning resources within and across teams.

* a demonstrated commitment to and/or experience serving lgbtqq youth and a broad and deep knowledge of and empathy for the challenges they face, both interpersonally and within systems.
* a commitment to providing culturally-responsive services that honor, value, and celebrate the diverse needs and backgrounds of lgbtqq young people; competent in working in a multiracial, multicultural, multi-gendered, and intergenerational environment.
* at least three years of professional experience in talent development, human resources, learning and development, knowledge management and/or organizational development or a related skill area, preferably in a **mission-driven** context.
* demonstrated expertise and success as a change manager, facilitator and/or coach with complex dynamics and diverse participants; maturity in balancing when to hold, reflect and process, and when to forge ahead.
* proven ability to effectively lead and develop youth; familiarity with youth development frameworks, youth-adult partnership frameworks, restorative justice, and/or systems change is highly preferred.
* proven ability to mentor and develop staff and deliver direct and growth-oriented feedback; ability to establish trust while also communicating clear boundaries of hr functions.
* exceptional relational and communication skills; comfort with ambiguity and an ability to navigate **challenging** situations with resiliency, integrity, and good will.
* experience and comfort with working with transgender youth, young women, youth of color, youth with disabilities, undocumented youth, young men who have sex with men (ymsm), youth living with hiv, system-engaged youth, immigrant communities, youth engaged in sex work, youth who are experiencing homelessness or housing instability, and other historically marginalized groups.
* preference for candidates who bring an extensive knowledge of the san francisco bay area and its resources, particularly for lgbtqq youth, youth of color, undocumented youth, and their families.
* fluency in cantonese, mandarin, or spanish is highly desirable.

to apply

this search is being conducted with assistance from allison kupfer poteet, chris cannon and makeba greene of npag. nominations, inquiries, and/or applications including your resume and a cover letter should be submitted to: lyric-tm@nonprofitprofessionals.com

npag is an executive search and consulting firm dedicated to serving the **mission-driven** community. we partner with global **mission-driven** clients to deliver highly-tailored, innovative, and strategic senior- and executive-level search services. www.nonprofitprofessionals.com

lyric is an equal opportunity employer. applications are strongly encouraged from women, people of color, immigrants, young people, lesbian, gay, bisexual, queer, transgender and genderqueer people, people living with hiv/aids, people with disabilities, and bilingual and bicultural people. pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.

categories

* legal
* job_category_human_resources
* employee relations
* organizational development
* compensation
* training/development
* employee asst. programs
* employment/recruitment
* hris
* diversity
* eeo/affirmative action
* international hrm

next job:

talent development manager

bemis manufacturing company

sheboygan falls, wisconsin 53085",156.6652658550561
"toggle navigation
-toggle search
-regional vice president of operations
-norwalk, ct
-regional vice president of operations
-description
hei hotels & resorts is an industry-leading hotel management firm with over 75 hotels of upper-upscale, luxury and premium select serve, all located in large metropolitan and urban markets. hei manages world class brands as well as independent and boutique hotels in key markets.

*this role sits in our corporate office in norwalk, ct*

the regional vice president of operations leads, manages and supervises all operational aspects of approximately ten hotels, working closely with general managers to ensure desired **results**. he or she will coordinate with corporate directors/vice presidents of finance, sales and revenue management to achieve budgeted and operational goals. the regional vice president of operations must have the ability to affect positive change and continual progress in the areas of financial performance, revenue management, associate engagement, and guest satisfaction. this hands-on position guides properties in improving service standards, developing talent, increasing profit, reducing costs and maintaining franchise standards. the position requires substantial and regular travel.

* fully accountable to develop, execute and achieve strategic initiatives and financial **results** for their portfolio of hotels.
* support and direct property **leadership** in revenue growth, market share performance, financial, human resources, guest service, and sales initiatives in coordination with the corporate support team to achieve desired outcomes.
* effectively lead, support, develop and train general managers and provide support and guidance for other indirect reports.
* ensure proper staffing and retention of hotel **leadership** teams; implement succession planning with each direct report to provide new opportunities as appropriate; develop appropriate processes to develop ""high potential"" leaders for future positions.
* supervise and execute timely communication to various stakeholders related to the long term vision and strategies.
* act as the liaison with the owners of the properties ensuring proper and **proactive** communications.
* lead the annual business planning and budgeting process for each property in a coordinated fashion to ensure timely internal reviews while meeting ownership and corporate deadlines.
* ensure properties are in compliance with hei initiatives and specific brand standards.
* participate and maintain active company and community relations while taking part in corporate activities and meetings.
* perform any other assignments as directed by senior **leadership**.

experience
* bachelors or masters degree in hospitality management or business administration or related degree preferred.
* 8+ years' experience as a general manager of upper upscale and luxury full-service hotels with major multi-branded experience (starwood, marriott, hilton, hyatt and intercontinental hotels.)
* experience as a regional or area market leader and multi-property responsibility required.
* experience with 3rd party owners and asset managers preferred.
* proven track record to execute corporate, owner, and brand initiatives.

skills and knowledge
* **proactive**, independent, forward-thinking, trustworthy, and a hands-on operations executive with high ethical standards.
* has successfully led, managed, motivated and developed multiple teams.
* demonstrated record of success in achieving financial, str, customer service and associate opinion **results**.
* demonstrated ability to influence all levels of a property with their presence and business acumen.
* excellent interpersonal skills required.
* extremely strong analytical/intellectual skills and business acumen with **resourceful** problem solving skills..
* excellent oral, written, presentation and public speaking skills. has a proven track record of excellent conflict mediation, resolution, and negotiation skills.
* a dynamic team player who can think creatively, manage innovation, and effectively **challenge** existing practices.
* approachable, motivational, and positive personality.
* highly capable of determining market positioning or repositioning for assets in various geographic locations and product types.
* demonstrated skill to multi-task and adjust quickly to changing priorities and stay organized.
* strong organizational and project management skills.
* relocation to corporate office mandatory, need to maintain discipline and rhythms with property teams and corporate **leadership**.

benefits
hei hotels and resorts is committed to providing a comprehensive benefits plan that offers you choices for your physical, mental and financial wellness, creating value in your most important investment - you!

for your physical and mental wellness we offer competitive medical, dental and vision insurance programs geared to you and your family's needs as well as vacation/sick/holiday benefits. for your financial wellness hei provides a wide array of coverage, including supplemental, spousal and child life insurance and short and long-term disability. in addition, our 401(k) savings plan with matching funds, and discounts through our 'youdecide' and hotel room discount programs provide additional incentives for choosing hei as the employer of your future.

hei hotels & resorts is an equal opportunity employer. we evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, and other legally protected characteristics.

equal opportunity employer minorities/women/protected veterans/disabled
-requirements
see description above.
-about us
-heiviews our associates as our greatest resource, and we hire and develop the best. we have a culture of winning, we embrace change, thrive on **challenge** and always seek to surpass our personal bests. defined by our unique business platform, our environment is **fast-paced**, expansive and ever-evolving, yet stable, consistent, enduring. it is a **high-performance** culture where innovation and entrepreneurial spirit are evident; **initiative** and **results** are rewarded.

our people know they're in on the ground floor of a company with all the cornerstones of success in place: experienced leaders, steady investors, a strong track record and long - term career potential. and in turn, each of our associates thrive because hei's distinctly advantaged infrastructure creates a supportive, educational culture as well as unlimited opportunities for personal and professional success on every level.
an engaging, high-energy environment, hei presents a rare career opportunity: the chance to shape a powerful leader in the hospitality industry.
-apply
-job info
-norwalk, ct
-posted on:06/22/2018

position available: immediately

work permit: applicants who do not already have legal permission to work in the location of this job will not be considered.

management position: yes
-description
hei hotels & resorts is an industry-leading hotel management firm with over 75 hotels of upper-upscale, luxury and premium select serve, all located in large metropolitan and urban markets. hei manages world class brands as well as independent and boutique hotels in key markets.

*this role sits in our corporate office in norwalk, ct*

the regional vice president of operations leads, manages and supervises all operational aspects of approximately ten hotels, working closely with general managers to ensure desired **results**. he or she will coordinate with corporate directors/vice presidents of finance, sales and revenue management to achieve budgeted and operational goals. the regional vice president of operations must have the ability to affect positive change and continual progress in the areas of financial performance, revenue management, associate engagement, and guest satisfaction. this hands-on position guides properties in improving service standards, developing talent, increasing profit, reducing costs and maintaining franchise standards. the position requires substantial and regular travel.

* fully accountable to develop, execute and achieve strategic initiatives and financial **results** for their portfolio of hotels.
* support and direct property **leadership** in revenue growth, market share performance, financial, human resources, guest service, and sales initiatives in coordination with the corporate support team to achieve desired outcomes.
* effectively lead, support, develop and train general managers and provide support and guidance for other indirect reports.
* ensure proper staffing and retention of hotel **leadership** teams; implement succession planning with each direct report to provide new opportunities as appropriate; develop appropriate processes to develop ""high potential"" leaders for future positions.
* supervise and execute timely communication to various stakeholders related to the long term vision and strategies.
* act as the liaison with the owners of the properties ensuring proper and **proactive** communications.
* lead the annual business planning and budgeting process for each property in a coordinated fashion to ensure timely internal reviews while meeting ownership and corporate deadlines.
* ensure properties are in compliance with hei initiatives and specific brand standards.
* participate and maintain active company and community relations while taking part in corporate activities and meetings.
* perform any other assignments as directed by senior **leadership**.

experience
* bachelors or masters degree in hospitality management or business administration or related degree preferred.
* 8+ years' experience as a general manager of upper upscale and luxury full-service hotels with major multi-branded experience (starwood, marriott, hilton, hyatt and intercontinental hotels.)
* experience as a regional or area market leader and multi-property responsibility required.
* experience with 3rd party owners and asset managers preferred.
* proven track record to execute corporate, owner, and brand initiatives.

skills and knowledge
* **proactive**, independent, forward-thinking, trustworthy, and a hands-on operations executive with high ethical standards.
* has successfully led, managed, motivated and developed multiple teams.
* demonstrated record of success in achieving financial, str, customer service and associate opinion **results**.
* demonstrated ability to influence all levels of a property with their presence and business acumen.
* excellent interpersonal skills required.
* extremely strong analytical/intellectual skills and business acumen with **resourceful** problem solving skills..
* excellent oral, written, presentation and public speaking skills. has a proven track record of excellent conflict mediation, resolution, and negotiation skills.
* a dynamic team player who can think creatively, manage innovation, and effectively **challenge** existing practices.
* approachable, motivational, and positive personality.
* highly capable of determining market positioning or repositioning for assets in various geographic locations and product types.
* demonstrated skill to multi-task and adjust quickly to changing priorities and stay organized.
* strong organizational and project management skills.
* relocation to corporate office mandatory, need to maintain discipline and rhythms with property teams and corporate **leadership**.

benefits
hei hotels and resorts is committed to providing a comprehensive benefits plan that offers you choices for your physical, mental and financial wellness, creating value in your most important investment - you!

for your physical and mental wellness we offer competitive medical, dental and vision insurance programs geared to you and your family's needs as well as vacation/sick/holiday benefits. for your financial wellness hei provides a wide array of coverage, including supplemental, spousal and child life insurance and short and long-term disability. in addition, our 401(k) savings plan with matching funds, and discounts through our 'youdecide' and hotel room discount programs provide additional incentives for choosing hei as the employer of your future.

hei hotels & resorts is an equal opportunity employer. we evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, and other legally protected characteristics.

equal opportunity employer minorities/women/protected veterans/disabled
-requirements
see description above.
about us
-heiviews our associates as our greatest resource, and we hire and develop the best. we have a culture of winning, we embrace change, thrive on **challenge** and always seek to surpass our personal bests. defined by our unique business platform, our environment is **fast-paced**, expansive and ever-evolving, yet stable, consistent, enduring. it is a **high-performance** culture where innovation and entrepreneurial spirit are evident; **initiative** and **results** are rewarded.

our people know they're in on the ground floor of a company with all the cornerstones of success in place: experienced leaders, steady investors, a strong track record and long - term career potential. and in turn, each of our associates thrive because hei's distinctly advantaged infrastructure creates a supportive, educational culture as well as unlimited opportunities for personal and professional success on every level.
an engaging, high-energy environment, hei presents a rare career opportunity: the chance to shape a powerful leader in the hospitality industry.
-related jobs
hei corporate office jobs
-norwalk, ct
date posted: 2 weeks ago
-norwalk, ct
date posted: 2 weeks ago
-for jobseekers
-for employers
-company info
-for seekers
-for employers
-company info
-hcareers is a
-©1999-2018 hcareers.com. all rights reserved.
-|
-©1999-2018 hcareers.com. all rights reserved.
-|",127.38252850804534
"senior software engineer - file systems

applied 21/06/18






easily keep track of jobs you like that you can't apply to right now

3.8 hewlett packard enterprise  san jose, ca
glassdoor estimated salary: $106k-$154k

senior software engineer - file systems

hewlett packard enterprise

applied 21/06/18




applied 21/06/18






easily keep track of jobs you like that you can't apply to right now

* job
* company
* rating
* reviews
* why work for us
*

* reviews
* why work for us

were looking for a senior software engineer to join the data services group at hpe **nimble** storage. this is a perfect position for someone who is passionate about using the latest techniques and best practices to build and improve systems software that is scalable and best-in-class.

the purpose of your job: design and develop software in the nimbleos data path.

essential functions:
* work with technical leaders and architects to understand new product requirements.
* create functional specs and other design documentation.
* design, code, test and debug components in **nimble** storages data services group.
* implement new features in the file system, protocols and performance.
* work with other data services teams, qa, customer support and platform teams to solve complex customer and release issues.
* provide guidance to management and participate in technical communication with customers.
requirements:
* bs in cs or ee required. ms degree preferred.
* must have a very strong system programming background with c/c++ for large enterprise class software.
* must have proficiency with data structures, algorithms and multi-threaded programming
* must have in-depth knowledge of os internals.
* must be capable of debugging issues in multi-threaded and clustered environments.
* prior experience in one or more of the following areas is a huge plus:
* data-path on large and complex modules.
* distributed systems, clustering or ha
* memory management, virtualization or de-duplication
* replication, qos, storage protocols (iscsi/scsi, fc, nfs, cifs).
* performance tuning and modelling
* use of performance analysis tools e.g. oprofile, gprof.

* experience in developing commercial software products, passion for quality and excellent software engineering practices.
* ability to work collaboratively in small-medium size engineering teams is a plus.
* ability to write clear and articulate functional and design specifications
* ability to work independently and manage multiple priorities in a **fast-paced** environment and take on a variety of roles as needed
about **nimble**

**nimble** storage, recently acquired by hpe, is seeking talented software engineers for its data services team. as a member of the team, you will be responsible for driving innovation for the most dynamic company in the storage industry. in 2010, **nimble** upended the data storage industry with its cache accelerated sequential layout (casl) architecture. since then, the company established itself as the leader in the fast-growing flash storage market and was acquired by hpe in early 2017 to become a key part of its storage division.

**nimble** broke away from the storage industry pack with innovations like its scale-out architecture, which allows its solutions to independently scale performance and capacity with minimum disruption; and infosight, it's automated storage support system that uses big data to identify and resolve problems in real-time. adaptive flash, nimbles latest contribution to storage innovation, is the most efficient flash platform in the industry and the companys all-flash shelf scales to 64 terabytes within a single system.

**nimble** has garnered an impressive list of awards, including crn storage product of the year, wall street journal next big thing award, infoworld / network world ""25 new it companies to watch""

life at **nimble**

**nimble** was named one of the bay area newsgroups top workplaces in 2013 and 2014, based on independent employee surveys. **nimble** employees cited the companys collaborative and innovative culture as two key factors contributing to their overall job satisfaction. **nimble** employees strongly believe they have been given a rare opportunity to make a lasting impact on their company as well as the industry at large. in addition, **nimble** offers competitive salaries and perks. the collaborative and innovative culture continues under the helm of hpe.

hpe/**nimble** is a fun place to work, offering a highly stimulating work environment. in their leisure time, **nimble** employees connect through **nimble** neighborhood, an online bulletin board for arranging hikes, games, fitness events, jam sessions, cricket matches and more.",116.77505902503574
"**leadership** development analyst
         
    
     
     
        
        
        



 
          
       
 
          
          job id :  
          107670 
          
          
          location :  
          irving, tx us 
          
          
          level :  
          entry level professional 
          
          
          job category :  
          human resources 
          
          
          description :  
          
          
         where good people build rewarding careers. 

 think that working in the insurance field cant be exciting, rewarding and **challenging**? think again. youll help us reinvent protection and retirement to improve customers lives. well help you make an impact with our training and mentoring offerings. here, youll have the opportunity to expand and apply your skills in ways you never thought possible. and youll have fun doing it. join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life. 
 job description
 the **leadership** development position family provides consulting and solutions that increase individual, team and organizational performance as well as personal and professional development to ensure our readiness for future **leadership** and business challenges. 

   

 the **leadership** development analyst is responsible for assisting with the delivery of a broad scope of **leadership** development initiatives to internal clients by applying professional judgment, knowledge, experience and a broad perspective.  the individual will assist in the development, implementation, and delivery of routine and/or innovative solutions that support **leadership** development with supervision. 

   

 the **leadership** development analyst manages small projects and supports the delivery of moderate scale projects and/or work streams. projects may include (but are not limited to) assisting with the delivery of formal learning events, developing basic communications, and assisting with content development. 

   

 
	 exhibits knowledge about the client organization and business in executing **leadership** development activities; maintains an understanding of overall business unit strategies and priorities  
	 partners in the development of objectives and project plans for **leadership** solutions 
	 routinely runs small projects and supports moderate scale projects as needed 
	 responds to routine inquiries from clients, identifies basic **leadership** development needs, and escalates to appropriate process owner 
	 partners to create simple to moderately complex media, learning content, and activities 
	 facilitation of routine learning events, activities 
	 participates in the evaluation of learning, including the collection and analysis of data 
	 solves a range of **straightforward** problems; analyzes possible solutions given experience 
	 builds effective relationships within and across the team as well as with clients 
	 supports the development of internal client communications and branding; adapts communication techniques for audiences at multiple internal levels 
	 manages the expectations of clients and internal partners; presents facts and information to negotiate a mutually acceptable solution 
	 partners with vendors to ensure effective delivery of services 
	 researches **leadership** development solutions and drafts options to improve client service 
	 maintains knowledge of **leadership** development trends through best practice research, internal/external benchmarking, participation in professional associations, etc. 
	 creates basic queries and learning reports and measurement analyses 
	 evaluates and recommends appropriate presentation method(s) for basic to intermediate information based on user needs  
	 be aware of and operate within budget 
 

 job description
 the **leadership** development position family provides consulting and solutions that increase individual, team and organizational performance as well as personal and professional development to ensure our readiness for future **leadership** and business challenges. 

   

 the **leadership** development analyst is responsible for assisting with the delivery of a broad scope of **leadership** development initiatives to internal clients by applying professional judgment, knowledge, experience and a broad perspective.  the individual will assist in the development, implementation, and delivery of routine and/or innovative solutions that support **leadership** development with supervision. 

   

 the **leadership** development analyst manages small projects and supports the delivery of moderate scale projects and/or work streams. projects may include (but are not limited to) assisting with the delivery of formal learning events, developing basic communications, and assisting with content development. 

   

 
	 exhibits knowledge about the client organization and business in executing **leadership** development activities; maintains an understanding of overall business unit strategies and priorities  
	 partners in the development of objectives and project plans for **leadership** solutions 
	 routinely runs small projects and supports moderate scale projects as needed 
	 responds to routine inquiries from clients, identifies basic **leadership** development needs, and escalates to appropriate process owner 
	 partners to create simple to moderately complex media, learning content, and activities 
	 facilitation of routine learning events, activities 
	 participates in the evaluation of learning, including the collection and analysis of data 
	 solves a range of **straightforward** problems; analyzes possible solutions given experience 
	 builds effective relationships within and across the team as well as with clients 
	 supports the development of internal client communications and branding; adapts communication techniques for audiences at multiple internal levels 
	 manages the expectations of clients and internal partners; presents facts and information to negotiate a mutually acceptable solution 
	 partners with vendors to ensure effective delivery of services 
	 researches **leadership** development solutions and drafts options to improve client service 
	 maintains knowledge of **leadership** development trends through best practice research, internal/external benchmarking, participation in professional associations, etc. 
	 creates basic queries and learning reports and measurement analyses 
	 evaluates and recommends appropriate presentation method(s) for basic to intermediate information based on user needs  
	 be aware of and operate within budget 
 

 job qualifications
 
	 education: bachelors degree in human resources, psychology, organizational development, organizational behavior, and/or organizational change strongly preferred. related certification a plus. 
	 experience: 1+ years of equivalent experience, in a position with demonstrated success in the area of **leadership** development 
	 professional with strong organizational, communication (both verbal and written) and administrative skills 
	 prior experience in learning, **leadership** development, and/or leading/managing people and/or projects 
	 knowledge of the microsoft suite of business software 
	 basic analytical skills 
	 basic project management skills 
	 ability to work independently as well as thrive in a **matrixed** team environment 
	 strong work ethic with commitment to high performance, quality and service **excellence** 
	 advanced time management skills including ability to handle multiple projects, **prioritize** and organize 
	 ability to establish, manage and leverage relationships with internal and external partners 
	 innovative thinking and problem solving skills 
	 flexibility and capability to perform in ambiguous situations 
	 experience and education required: 
 

   

   

 the candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen. 

 good work. good life. good hands®.  

 as a fortune 100 company and industry leader, we provide a competitive salary  but thats just the beginning. our total rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). plus, youll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy. 

 learn more about life at allstate. connect with us on  twitter ,  facebook ,  instagram  and  linkedin  or watch a  video . 
 
 
 
 allstate generally does not sponsor individuals for employment-based visas for this   position. 
 
effective july 1, 2014, under indiana house enrolled act (hea) 1242, it is against public policy of the state of indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the united states, a member of the indiana national guard or a member of a reserve component.  
 
for jobs in san francisco, please click  ""here""  for information regarding the san francisco fair chance ordinance.  
 for jobs in los angeles, please click  ""here""  for information regarding the los angeles fair chance **initiative** for hiring ordinance. 
 
it is the policy of allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the vietnam era.",110.90829419438056
